experiment,model_file,strategy_return,hs300_return,excess_return,max_drawdown,drawdown_days,recovery_days,recovered,exp_key,exp_dir_norm,score
model/search_itransformer_74_3\exp_2,best_model_sliding.pth,3.1752643000000136,6.39611821790913,-3.2208539179091167,7.4571376000771625,11,,False,search_itransformer_74_3/exp_2,model/search_itransformer_74_3/exp_2,-1.933291735395878
model/search_itransformer_74_3\exp_29,best_model_sliding.pth,3.117825750000036,6.39611821790913,-3.278292467909094,8.599286639117096,11,,False,search_itransformer_74_3/exp_29,model/search_itransformer_74_3/exp_29,-2.3161434321078427
model/search_itransformer_74_3\exp_37,best_model_sliding.pth,3.08533740000001,6.39611821790913,-3.3107808179091203,10.016124264717737,11,,False,search_itransformer_74_3/exp_37,model/search_itransformer_74_3/exp_37,-2.763936564788053
model/search_itransformer_74_3\exp_43,best_model_sliding.pth,3.0804678200000435,6.39611821790913,-3.3156503979090868,2.8516281033903454,1,12.0,True,search_itransformer_74_3/exp_43,model/search_itransformer_74_3/exp_43,-0.6179964223898122
model/search_itransformer_74_3\exp_2,best_model.pth,2.9011135600000237,6.39611821790913,-3.4950046579091065,7.379383710712401,13,,False,search_itransformer_74_3/exp_2,model/search_itransformer_74_3/exp_2,-2.1018710865864425
model/search_itransformer_74_3\exp_42,best_model.pth,2.870204660000031,6.39611821790913,-3.5259135579090994,9.462348692575329,11,,False,search_itransformer_74_3/exp_42,model/search_itransformer_74_3/exp_42,-2.7483968111453163
model/search_itransformer_74_3\exp_42,best_model_sliding.pth,2.870204660000031,6.39611821790913,-3.5259135579090994,9.462348692575329,11,,False,search_itransformer_74_3/exp_42,model/search_itransformer_74_3/exp_42,-2.7483968111453163
model/search_itransformer_74_3\exp_51,best_model_sliding.pth,2.8519482700000376,6.39611821790913,-3.5441699479090927,11.654766579050042,11,,False,search_itransformer_74_3/exp_51,model/search_itransformer_74_3/exp_51,-3.4189016500877254
model/search_itransformer_74_3\exp_50,best_model.pth,2.759458990000052,6.39611821790913,-3.636659227909078,4.177267595230196,4,,False,search_itransformer_74_3/exp_50,model/search_itransformer_74_3/exp_50,-1.2403944509417615
model/search_itransformer_74_3\exp_4,best_model.pth,2.720676830000013,6.39611821790913,-3.6754413879091175,5.865167128466361,4,,False,search_itransformer_74_3/exp_4,model/search_itransformer_74_3/exp_4,-1.7739118229126383
model/search_itransformer_74_3\exp_4,best_model.pth,2.720676830000013,6.39611821790913,-3.6754413879091175,5.865167128466361,4,,False,search_itransformer_74_3/exp_4,model/search_itransformer_74_3/exp_4,-1.7739118229126383
model/search_itransformer_74_3\exp_8,best_model_sliding.pth,2.7138957700000077,6.39611821790913,-3.6822224479091226,7.160978978594542,17,,False,search_itransformer_74_3/exp_8,model/search_itransformer_74_3/exp_8,-2.167402119951096
model/search_itransformer_74_3\exp_8,best_model_sliding.pth,2.7138957700000077,6.39611821790913,-3.6822224479091226,7.160978978594542,17,,False,search_itransformer_74_3/exp_8,model/search_itransformer_74_3/exp_8,-2.167402119951096
model/search_itransformer_74_3\exp_8,best_model.pth,2.7138957700000077,6.39611821790913,-3.6822224479091226,7.160978978594542,17,,False,search_itransformer_74_3/exp_8,model/search_itransformer_74_3/exp_8,-2.167402119951096
